2026-07-01 19:32:31 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 19:32:31 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 19:32:31 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 19:32:31 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 19:32:31 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 19:32:32 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 19:32:32 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 19:32:32 | INFO     | core.ui_automator:217 | Waiting 3s
2026-07-01 19:32:36 | INFO     | core.ui_automator:217 | Waiting 1s
2026-07-01 19:32:37 | INFO     | core.ui_automator:132 | Clearing and inputting text: '好看的视频'
2026-07-01 19:32:37 | INFO     | core.ui_automator:217 | Waiting 0.5s
2026-07-01 19:32:38 | INFO     | core.ui_automator:217 | Waiting 5s
2026-07-01 19:32:44 | INFO     | utils.common:66 | ✅ 断言通过：底部工具栏应存在 '工具' 按钮
2026-07-01 19:32:44 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:32:46 | INFO     | utils.common:66 | ✅ 断言通过：工具菜单中应存在 '添加收藏' 项
2026-07-01 19:32:46 | INFO     | core.ui_automator:217 | Waiting 1.5s
2026-07-01 19:32:59 | INFO     | core.ui_automator:217 | Waiting 2s
2026-07-01 19:33:08 | ERROR    | utils.common:68 | ❌ 断言失败：应能再次唤出工具菜单
2026-07-01 19:33:08 | ERROR    | core.exception_handler:36 | Exception [assertion]: AssertionError: 应能再次唤出工具菜单
2026-07-01 19:33:08 | DEBUG    | core.exception_handler:37 | NoneType: None

2026-07-01 19:33:08 | INFO     | core.ui_automator:164 | Taking screenshot -> d:\ksdtool\toolksd_033206\APKAutomatedTesting\NaturalLangua\screenshots\error_20260701_193308.png
2026-07-01 19:33:08 | INFO     | core.exception_handler:46 | Error screenshot saved: d:\ksdtool\toolksd_033206\APKAutomatedTesting\NaturalLangua\screenshots\error_20260701_193308.png
2026-07-01 19:33:08 | ERROR    | tasks.framework.base_case:92 | 用例断言失败：添加收藏到收藏夹
2026-07-01 19:33:08 | INFO     | tasks.framework.base_case:70 | << 用例结束 [手机浏览器/add_favorite] 添加收藏到收藏夹 — 失败
2026-07-01 19:33:08 | INFO     | tasks.framework.runner:95 | --- APK 结束: 手机浏览器 - 通过 0/1 ---
2026-07-01 19:33:08 | INFO     | tasks.framework.runner:54 | ==================================================
2026-07-01 19:33:08 | INFO     | tasks.framework.runner:55 | 执行汇总：共 1 条，通过 0，失败 1
2026-07-01 19:33:08 | INFO     | tasks.framework.runner:58 |   [FAIL] [browser/add_favorite] 添加收藏到收藏夹
2026-07-01 19:33:08 | INFO     | tasks.framework.runner:59 | ==================================================
2026-07-01 19:34:17 | INFO     | tasks.framework.runner:84 | --- APK 开始: 手机浏览器 (browser) ---
2026-07-01 19:34:17 | INFO     | tasks.framework.runner:86 |     说明：浏览器核心能力：启动、打开网址、搜索、前进后退
2026-07-01 19:34:17 | DEBUG    | core.device_manager:23 | Found 1 device(s)
2026-07-01 19:34:17 | INFO     | core.device_manager:46 | Connected to device: ZYPZ261A01M65K000LH
2026-07-01 19:34:17 | INFO     | utils.common:36 | 已连接设备：ZYPZ261A01M65K000LH
2026-07-01 19:34:18 | INFO     | tasks.framework.base_case:56 | >> 用例开始 [手机浏览器/add_favorite] 添加收藏到收藏夹
2026-07-01 19:34:18 | INFO     | core.app_controller:25 | Launching app: com.android.browser
2026-07-01 19:34:18 | INFO     | core.ui_automator:217 | Waiting 3s
